target,feature,n,n_raw,outlier_filter,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
out_signed_error,entrance_gray_entropy_p90,2645,3822,iqr,-0.025973922268922135,0.025973922268922135,-0.05120036249661447,0.05120036249661447
out_signed_error,entrance_saturation_std_p50,2503,3822,iqr,0.025502882677943966,0.025502882677943966,0.06657623680524667,0.06657623680524667
out_signed_error,filtered_candidate_component_area_p50_max,2188,2515,iqr,0.0254257592889867,0.0254257592889867,0.012733283346861942,0.012733283346861942
out_signed_error,bottom_raw_candidate_pixels_min,3104,3822,iqr,0.025035443081903072,0.025035443081903072,0.02938844381611113,0.02938844381611113
out_signed_error,filtered_candidate_component_area_mean_max,2188,2515,iqr,0.024970791197841357,0.024970791197841357,0.01240148716104189,0.01240148716104189
out_signed_error,total_in_flux_share,1860,2515,iqr,0.024755936760150712,0.024755936760150712,0.03044336587862612,0.03044336587862612
out_signed_error,total_out_flux_share,1860,2515,iqr,-0.024755936760150435,0.024755936760150435,-0.03044336587862612,0.03044336587862612
out_signed_error,top_filtered_out_flux_p50,3104,3822,iqr,0.02461558980115661,0.02461558980115661,0.019066070697553884,0.019066070697553884
out_signed_error,raw_in_flux_min,3104,3822,iqr,0.024214278074421086,0.024214278074421086,0.025733674128436218,0.025733674128436218
out_signed_error,filtered_candidate_component_area_max_p10,3104,3822,iqr,0.02360363278149042,0.02360363278149042,0.024113500890911563,0.024113500890911563
out_signed_error,top_filtered_candidate_pixels_p10,3104,3822,iqr,0.023471825205186866,0.023471825205186866,0.019023585988241096,0.019023585988241096
out_signed_error,background_saturation_mean_max,3037,3822,iqr,0.023423931392124592,0.023423931392124592,-0.00843880506394311,0.00843880506394311
out_signed_error,entrance_bright_ratio_p10,3104,3822,iqr,-0.02321446471842929,0.02321446471842929,-0.07123268761416023,0.07123268761416023
out_signed_error,entrance_value_mean_p50,3104,3822,iqr,-0.021404182484510786,0.021404182484510786,-0.03722549725179008,0.03722549725179008
out_signed_error,roi_edge_density_std,3064,3822,iqr,-0.021313758667343287,0.021313758667343287,-0.03271685243719732,0.03271685243719732
out_signed_error,entrance_gray_mean_min,3055,3822,iqr,-0.020741512391811944,0.020741512391811944,-0.030011445483339456,0.030011445483339456
out_signed_error,total_direction_balance_abs,1929,2515,iqr,-0.020720183211068038,0.020720183211068038,-0.05958048227391459,0.05958048227391459
out_signed_error,background_bright_ratio_mean,2396,3822,iqr,0.02043438333101358,0.02043438333101358,-0.013287800003043198,0.013287800003043198
out_signed_error,roi_saturated_ratio_p90,2263,3822,iqr,-0.020194295219469933,0.020194295219469933,-0.02917887987622287,0.02917887987622287
out_signed_error,entrance_gray_p05_mean,2783,3822,iqr,-0.019884427872961564,0.019884427872961564,-0.033421736422445524,0.033421736422445524
out_signed_error,entrance_gray_p95_min,3104,3822,iqr,-0.019427738331151422,0.019427738331151422,-0.036093245102045056,0.036093245102045056
out_signed_error,roi_flow_active_ratio_min,3104,3822,iqr,0.01895094589557995,0.01895094589557995,0.05369374027943247,0.05369374027943247
out_signed_error,entrance_value_mean_mean,3104,3822,iqr,-0.018881993177361462,0.018881993177361462,-0.03198810462503656,0.03198810462503656
out_signed_error,left_filtered_candidate_pixels_p10,3104,3822,iqr,0.01875897311645745,0.01875897311645745,0.02810862902944155,0.02810862902944155
out_signed_error,roi_saturation_mean_p50,3043,3822,iqr,0.018757304409389396,0.018757304409389396,-0.018614791154274092,0.018614791154274092
out_signed_error,entrance_gray_dynamic_range_min,3104,3822,iqr,0.018383692368461668,0.018383692368461668,0.00877967515659557,0.00877967515659557
out_signed_error,bottom_raw_candidate_pixels_p50,3104,3822,iqr,0.01820868564615764,0.01820868564615764,0.0164749852509766,0.0164749852509766
out_signed_error,roi_saturation_std_min,2748,3822,iqr,-0.018076819996323327,0.018076819996323327,0.03388822987089386,0.03388822987089386
out_signed_error,direction_balance_abs_max,2209,2515,iqr,-0.017180210918159296,0.017180210918159296,-0.030067732796655283,0.030067732796655283
out_signed_error,bottom_raw_out_flux_p50,3104,3822,iqr,0.016138923601719837,0.016138923601719837,0.028455215136265404,0.028455215136265404
out_signed_error,filtered_to_raw_traffic_ratio_max,1993,3222,iqr,-0.015833702941861046,0.015833702941861046,-0.07691155839888285,0.07691155839888285
out_signed_error,entrance_saturation_std_mean,2524,3822,iqr,0.015760467860855984,0.015760467860855984,0.05714524104507848,0.05714524104507848
out_signed_error,out_flux_share_mean,1848,2515,iqr,0.015420973330018673,0.015420973330018673,0.015369463629255732,0.015369463629255732
out_signed_error,in_flux_share_mean,1848,2515,iqr,-0.01542097333001803,0.01542097333001803,-0.015369463629255732,0.015369463629255732
out_signed_error,entrance_gray_p50_p10,3104,3822,iqr,-0.015353521034611727,0.015353521034611727,-0.02812968296839223,0.02812968296839223
out_signed_error,roi_saturation_std_std,2926,3822,iqr,0.015207145240946298,0.015207145240946298,-0.004008263605219651,0.004008263605219651
out_signed_error,top_filtered_in_flux_p10,3104,3822,iqr,0.015177302299453944,0.015177302299453944,0.016933772920346465,0.016933772920346465
out_signed_error,frame_diff_p90_min,3104,3822,iqr,0.014580127875281122,0.014580127875281122,0.0017163259873710288,0.0017163259873710288
out_signed_error,background_saturation_mean_std,2864,3822,iqr,-0.014541931090689452,0.014541931090689452,-0.008105301684719556,0.008105301684719556
out_signed_error,left_filtered_candidate_pixels_p50,3104,3822,iqr,0.014169507681953776,0.014169507681953776,-0.006054413707129525,0.006054413707129525
out_signed_error,roi_gray_entropy_p90,2641,3822,iqr,0.014042446065771751,0.014042446065771751,0.011750789409683032,0.011750789409683032
out_signed_error,roi_saturation_mean_mean,3053,3822,iqr,0.013973279888723713,0.013973279888723713,-0.023695775788605357,0.023695775788605357
out_signed_error,bottom_filtered_out_flux_p50,3104,3822,iqr,0.01311991610457499,0.01311991610457499,0.030845955844986513,0.030845955844986513
out_signed_error,background_saturation_mean_p10,3104,3822,iqr,-0.012921062987617879,0.012921062987617879,-0.05228510984760429,0.05228510984760429
out_signed_error,right_raw_in_flux_p10,3104,3822,iqr,0.012548122096356784,0.012548122096356784,0.032508571948894546,0.032508571948894546
out_signed_error,bottom_raw_in_flux_p10,3104,3822,iqr,0.011223060976652616,0.011223060976652616,0.07040721043598282,0.07040721043598282
out_signed_error,roi_laplacian_var_std,2975,3822,iqr,0.010823920061626649,0.010823920061626649,0.020796920069866373,0.020796920069866373
out_signed_error,roi_saturation_std_max,2766,3822,iqr,-0.010384532990171468,0.010384532990171468,0.053762590088268634,0.053762590088268634
out_signed_error,entrance_saturation_mean_max,2662,3822,iqr,0.010160791199244163,0.010160791199244163,-0.013118585346385936,0.013118585346385936
out_signed_error,background_saturation_std_min,2737,3822,iqr,-0.009975708012792572,0.009975708012792572,0.044477077040098366,0.044477077040098366
out_signed_error,roi_edge_density_max,3063,3822,iqr,0.009922929885700066,0.009922929885700066,-0.02613123252318862,0.02613123252318862
out_signed_error,out_flux_share_p50,1923,2515,iqr,-0.009784280149798687,0.009784280149798687,-0.004620099066650268,0.004620099066650268
out_signed_error,in_flux_share_p50,1923,2515,iqr,0.00978428014979861,0.00978428014979861,0.004620099066650268,0.004620099066650268
out_signed_error,roi_saturation_mean_p10,3104,3822,iqr,-0.00954721529960801,0.00954721529960801,-0.047877199917859575,0.047877199917859575
out_signed_error,candidate_direction_entropy_p10,2697,3222,iqr,-0.009164015500612264,0.009164015500612264,-0.05951617880541811,0.05951617880541811
out_signed_error,raw_out_flux_min,3104,3822,iqr,-0.00836443352568004,0.00836443352568004,-0.016986010057802977,0.016986010057802977
out_signed_error,bottom_filtered_in_flux_p90,2605,3822,iqr,0.008176561483036868,0.008176561483036868,0.003220516941634534,0.003220516941634534
out_signed_error,entrance_gray_std_p10,3103,3822,iqr,-0.007851429463005542,0.007851429463005542,-0.015625864143419585,0.015625864143419585
out_signed_error,entrance_saturated_ratio_mean,2263,3822,iqr,-0.00728246196511266,0.00728246196511266,-0.1302305171161228,0.1302305171161228
out_signed_error,roi_bright_ratio_std,2417,3822,iqr,-0.006731931744663933,0.006731931744663933,-0.017945248832779922,0.017945248832779922
out_signed_error,top_raw_candidate_pixels_min,3104,3822,iqr,-0.0066908171672763455,0.0066908171672763455,0.012737243389751969,0.012737243389751969
out_signed_error,background_saturated_ratio_mean,2254,3822,iqr,0.006448918682061601,0.006448918682061601,-0.05869946702820335,0.05869946702820335
out_signed_error,entrance_value_mean_p10,3104,3822,iqr,0.005707214812815262,0.005707214812815262,-0.011450050462489628,0.011450050462489628
out_signed_error,background_saturation_mean_mean,3104,3822,iqr,-0.005570502422951963,0.005570502422951963,-0.03945558114965458,0.03945558114965458
